,Day,Price
0,0,1919.0
1,1,2317.0
2,2,2053.0
3,3,2229.0
4,4,1971.0
5,5,1753.0
6,6,1138.0
7,7,1358.0
8,8,1366.0
9,9,1289.0
10,10,1751.0
11,11,1258.0
12,12,1327.0
13,13,1267.0
14,14,1602.0
15,15,1246.0
16,16,1169.0
17,17,1723.0
18,18,1617.0
19,19,1546.0
20,20,1116.0
21,21,1138.0
22,22,1256.0
23,23,1228.0
24,24,1523.0
25,25,1220.0
26,26,1239.0
27,27,1166.0
28,28,1079.0
29,29,1271.0
30,30,1743.0
31,31,1869.0
32,32,1577.0
33,33,986.0
34,34,1031.0
35,35,1063.0
36,36,1270.0
37,37,1170.0
38,38,1752.0
39,39,1576.0
40,40,1178.0
41,41,1138.0
42,42,1078.0
43,43,1317.0
44,44,1327.0
45,45,1995.0
46,46,1576.0
47,47,1277.0
48,48,1161.0
49,49,1125.0
50,50,1342.0
51,51,1326.0
52,52,1873.0
53,53,1576.0
54,54,1188.0
55,55,1182.0
56,56,1138.0
57,57,1387.0
58,58,1366.0
59,59,1959.0
